Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         4032.18         0.141667        0.855179        2.65835         7.67017e-07     
W2      3450.45         4130            0.131529        0.835461        14.1537         0.130987        
W3      3452.53         3790            0.137281        0.910958        16.3409         0.352777        
W4      3454.47         3582.97         0.151924        0.964135        25.6716         1.82461         
W5      3456.27         3628.31         0.157115        0.952586        67.3189         1.2171          
W6      3457.94         3747.16         0.146713        0.922817        30.689          1.53259         
W7      3459.47         10929           0.147918        0.5             200             4.97827         
W8      3460.87         3691.77         0.164245        0.937456        47.6864         1.21533         
W9      3462.12         3666.37         0.153402        0.944293        28.1182         1.72731         
W10     3463.24         3534.13         0.158792        0.979941        37.327          2.19358         
W11     3464.22         231348          0.15997         0.5             199.997         2.5022          
W12     3465.06         3787.61         0.14981         0.914841        6.73968         0.312674        
W13     3465.76         3298.79         0.140811        1.05061         32.5363         2.63779         
W14     3466.32         3281.8          0.15713         1.05623         7.95028         2.0616          
W15     3466.74         3176.89         0.146552        1.09124         58.1266         0.214434        
W16     3467.02         3365.53         0.155941        1.03016         29.565          0.786438        
W17     3467.16         3495.78         0.153977        0.991813        36.3883         1.26461         
W18     3467.16         3543.75         0.158216        0.978386        37.1637         3.56866         
W19     3467.02         3541.85         0.152132        0.978874        28.2598         0.136317        
W20     3466.74         3506.22         0.158456        0.98874         57.0545         2.72856         
W21     3466.32         2938.99         0.152924        1.17943         171.348         1.25119         
W22     3465.76         3776.34         0.142814        0.917756        29.0578         0.395068        
W23     3465.06         3439.67         0.142487        1.00738         36.3492         1.4136          
W24     3464.22         3635.38         0.144806        0.952919        52.4063         0.9544          
W25     3463.24         3651.39         0.168204        0.948471        27.4521         3.96159         
W26     3462.12         3542.74         0.160326        0.977246        53.5643         0.450168        
W27     3460.87         3499.43         0.142507        0.988981        42.648          2.69352         
W28     3459.47         3544.67         0.14863         0.975964        57.3377         2.59315         
W29     3457.94         3516.54         0.152127        0.983338        67.6073         1.85731         
W30     3456.27         3567.05         0.151557        0.968945        31.5135         2.23634         
W31     3454.47         3690            0.164396        0.936171        16.3409         0.352777        
W32     3452.53         4094.33         0.148035        0.843246        2.56576         6.29665e-07     
W33     3450.45         3435.81         0.157735        1.00426         35.4328         3.56962         
W34     3448.24         3452.53         0.156738        0.998758        1.00847         8.12609e-06     
W35     3450.45         3297.02         0.146275        1.04654         25.6754         1.60545         
W36     3452.66         3522            0.143378        0.980313        36.3911         1.76995         
W37     3454.74         3531.39         0.138015        0.978296        20.0304         1.05248         
W38     3456.69         3435.08         0.143485        1.00629         30.1235         1.72092         
W39     3458.49         3614.81         0.133007        0.956756        46.8159         2.84078         
W40     3460.17         3640.6          0.139152        0.950437        39.5659         1.30779         
W41     3461.7          3608.78         0.0923784       0.959244        2.20949         1.55448e-05     
W42     3463.1          3504.66         0.14673         0.988141        70.9176         0.918702        
W43     3464.35         3519.67         0.140499        0.984283        108.31          2.62785         
W44     3465.47         3487.16         0.132754        0.99378         21.0463         2.30627         
W45     3466.46         3486.04         0.1408          0.994381        60.6375         1.37184         
